club_id,club_name,city,state,country,address,timestamp_updated,distance,course_id,course_name,num_holes,has_gps,zip_code,lat,lng,geom
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,03314152085305787970,Sunset + Sunset,18,t,48890,29.53987844845927,-107.61546642109533,0101000020E6100000009945CD63E75AC0A2F25779358A3D40
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,03214152085305787970,Sunset + Midday,18,t,48890,27.192961045491394,-104.17102876898518,0101000020E6100000DB5DA622F20A5AC09AC923E565313B40
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,03114152085305787970,Sunset + Sunrise,18,t,48890,31.136824780067112,-78.29000762809024,0101000020E61000003D8F277C8F9253C0AFABE3F206233F40
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,02314152085305787970,Midday + Sunset,18,t,48890,25.822797214302604,-108.81368814150383,0101000020E6100000BA396D7713345BC06AAB96D6A2D23940
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,02214152085305787970,Midday + Midday,18,t,48890,37.669198724166186,-112.76532566991638,0101000020E610000021C58418FB305CC0CB68C54DA8D54240
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,02114152085305787970,Midday + Sunrise,18,t,48890,47.800257869351114,-69.40536907190474,0101000020E610000002A91E91F15951C0669D90D96EE64740
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,01314152085305787970,Sunrise + Sunset,18,t,48890,25.379426361401755,-124.48534953867383,0101000020E6100000E6EE82F70F1F5FC0F875051622613940
141520610924935000,Belle River Golf Course,Memphis,MI,USA,12564 Belle River Road,2022-08-22 04:41:42,,012141520850075772750,Belle River,18,t,,39.21272073882122,-107.50690308990845,0101000020E61000007B59A81971E05AC08435E46E3A9B4340
141520610924481000,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,2022-09-11 10:38:14,,023141520849689407536,Quarry + Preserve,18,t,48435,29.397672310701527,-112.34797514338567,0101000020E6100000642A893945165CC0E1FC40DACD653D40
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,01214152085305787970,Sunrise + Midday,18,t,48890,27.44759663677825,-67.06110295185798,0101000020E6100000D2FA5A1CE9C350C01EC374B195723B40
