club_ID,club_Name,address,city,state,country,zip_code,timestampUpdated,course_ID,course_Name,num_Holes,has_GPS
1.42E+17,Goodrich Country Club,10080 Hegel Rd,Goodrich,MI,USA,48438,1693838880,1.21E+14,18-hole course,18,1
1.42E+17,The Links at Bowen Lake,12990 Bradshaw Rd,Gowen,MI,USA,49326,1618417209,1.21E+19,Bowen Lake,18,0
1.42E+17,Captains Club at Woodfield,1000 Woodfield Dr,Grand Blanc,MI,USA,48439,1666967999,1.21E+19,Captains,18,1
1.42E+17,Flint Elks Country Club,7177 E Maple Ave,Grand Blanc,MI,USA,48439,1695185787,1.21E+14,Elks,18,1
1.42E+17,The Jewel of Grand Blanc,5270 Perry Rd,Grand Blanc,MI,USA,48439,1618417145,1.21E+14,Jewel,18,0
1.42E+17,The Jewel of Grand Blanc,5270 Perry Rd,Grand Blanc,MI,USA,48439,1618417179,1.21E+19,Diamond (North),18,0
1.42E+17,The Jewel of Grand Blanc,5270 Perry Rd,Grand Blanc,MI,USA,48439,1618417179,1.21E+19,Onyx (South),18,0
1.42E+17,Warwick Hills Golf & Country Club,G-9057 S Saginaw Rd,Grand Blanc,MI,USA,48439,1618417180,1.21E+19,Warwick Hills,18,0
1.42E+17,Evergreen Golf Course,10125 Osborn St,Grand Haven,MI,USA,49417,1685702800,1.21E+14,18-hole course,18,1
1.42E+17,Grand Haven Golf Club,17000 Lincoln St,Grand Haven,MI,USA,49417,1687246407,1.21E+19,Grand Haven,18,1
1.42E+17,Grand Ledge Country Club,5811 E Saint Joseph Hwy,Grand Ledge,MI,USA,48837,1693388162,1.21E+18,Grand Ledge,18,1
1.42E+17,Ledge Meadows Golf Course,1801 Grand Ledge Hwy,Grand Ledge,MI,USA,48837,1698059183,1.21E+19,Ledge Meadows,18,1
1.15E+12,Mines Golf Club,330 Covell Avenue Southwest,Grand Rapids,MI,USA,49504,1707580402,1.21E+14,18-hole course,18,1
1.42E+17,The Highlands,2715 Leonard St NW,Grand Rapids,MI,USA,49504,1618417179,1.21E+19,The Highlands,18,0
1.42E+17,Kent Country Club,1600 College Ave NE,Grand Rapids,MI,USA,49505,1696946319,1.21E+19,Kent,18,1
1.42E+17,Indian Trails Golf Course,2776 Kalamazoo Ave SE,Grand Rapids,MI,USA,49507,1696466652,1.21E+19,Indian Trails,18,1
1.42E+17,Golf Club at Thornapple Pointe,7211 48th St. SE,Grand Rapids,MI,USA,49512,1618417143,1.21E+14,18-hole course,18,0
1.42E+17,Grand Rapids Country Club,4300 Leonard St N,Grand Rapids,MI,USA,49525,1694080667,1.21E+19,Red + White,18,0
1.42E+17,Grand Rapids Country Club,4300 Leonard St N,Grand Rapids,MI,USA,49525,1694080590,1.11E+19,Blue,9,0
1.42E+17,Thousand Oaks Golf Club,4100 Thousand Oaks Dr,Grand Rapids,MI,USA,49525,1618417180,1.21E+19,Thousand Oaks,18,0
1.42E+17,Gracewil Country Club,2597 4 Mile Rd NW,Grand Rapids,MI,USA,49544,1693042680,1.21E+19,East,18,1
1.42E+17,Gracewil Country Club,2597 4 Mile Rd NW,Grand Rapids,MI,USA,49544,1687156527,1.21E+19,West,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,1.11E+19,East + East,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,1.21E+19,East + West,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,1.31E+19,East + South,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,2.11E+19,West + East,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,2.21E+19,West + West,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,2.31E+19,West + South,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,3.11E+19,South + East,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,3.21E+19,South + West,18,1
1.42E+17,Cascade Hills Country Club,3725 Cascade Rd SE,Grand Rapids,MI,USA,49546,1674209974,3.31E+19,South + South,18,1
1.42E+17,Watermark Country Club,1600 Galbraith Ave SE,Grand Rapids,MI,USA,49546,1618417180,1.21E+19,Watermark,18,0
1.15E+12,Maple Hill Golf,5555 Ivanrest Avenue Southwest,Grandville,MI,USA,49418,1704605792,1.21E+14,18-hole course,18,1
1.42E+17,Maple Hill Golf Course,5555 Ivanrest Ave SW,Grandville,MI,USA,49418,1677484512,1.21E+19,Maple Hill,18,0
1.42E+17,Sunnybrook Country Club,624 Port Sheldon Rd SW,Grandville,MI,USA,49418,1618417179,1.21E+19,Sunnybrook,18,0
1.42E+17,Brigadoon Golf Club,12559 Bagley Ave,Grant,MI,USA,49327,1618417178,1.21E+19,Blue/Yellow,18,0
1.42E+17,Brigadoon Golf Club,12559 Bagley Ave,Grant,MI,USA,49327,1618417178,1.21E+19,Red/Blue,18,0
1.42E+17,Brigadoon Golf Club,12559 Bagley Ave,Grant,MI,USA,49327,1618417178,1.21E+19,Red/Gold,18,0
1.42E+17,Calderone Golf Club,4490 WIllis Rd,Grass Lake,MI,USA,49240,1666183039,1.21E+19,Calderone,18,1
1.42E+17,Waterloo Golf Course,11800 Trist Rd,Grass Lake,MI,USA,49240,1618417180,1.21E+19,Waterloo,18,0
1.42E+17,Grayling Country Club,100 Charles St,Grayling,MI,USA,49738,1693593679,1.21E+19,Grayling,18,1
1.42E+17,Fox Run Country Club,5825 W 4 Mile Rd,Grayling,MI,USA,49756,1682956388,1.21E+19,Fox Run,18,1
1.42E+17,GlenKerry Golf Course,1413 E Kent,Greenville,MI,USA,48838,1685969744,1.21E+19,18-hole course,18,1
1.42E+17,Grosse Ile Golf & Country Club,9339 Bellevue Rd,Grosse Ile,MI,USA,48138,1687610394,1.21E+19,Grosse Ile,18,1
1.31E+12,West Shore Golf & Country Club,22843 West River Road,Grosse Ile Township,MI,USA,48138,1618417142,1.21E+14,West Shore C.C.,18,0
