"club_id","club_name","city","state","country","address","timestamp_updated","distance","course_id","course_name","num_holes","has_gps","zip_code","lat","lng"
"141520610939846000","Glenhurst Golf Course","Redford","MI","USA","25345 W 6 Mile Rd","2023-08-17 08:20:16",NULL,"012141520857885115821","Glenhurst",18,True,"48240",NULL,NULL
"141520610939936000","GlenKerry Golf Course","Greenville","MI","USA","1413 E Kent","2023-06-05 12:55:44",NULL,"012141520857925186398","18-hole course",18,True,"48838",NULL,NULL
"141520610940031000","Gogebic Country Club","Ironwood","MI","USA","200 Country Club Rd","2023-08-18 07:55:41",NULL,"012141520857971365393","Gogebic",18,True,"49938",NULL,NULL
"141520610940131000","Golden Hawk Golf Club","Casco Township","MI","USA","9861 Meisner Ln","2023-06-09 09:58:59",NULL,"012141520858012793138","18-hole course",18,True,"48064",NULL,NULL
"141520610940221000","Golf Club at Apple Mountain","Freeland","MI","USA","4519 N River Rd","2023-08-24 03:30:13",NULL,"012141520858044957650","Apple Mountain",18,True,"48623",NULL,NULL
"141520610940421000","Golf Club of Coldwater","Coldwater","MI","USA","270 Narrows Rd","2023-08-24 08:41:22",NULL,"012141520858137125870","Coldwater",18,False,"49036",NULL,NULL
"141520610940526000","Goodrich Country Club","Goodrich","MI","USA","10080 Hegel Rd","2023-09-04 14:48:00",NULL,"0121311385874582","18-hole course",18,True,"48438",NULL,NULL
"141520610940620000","Gowanie Golf Club","Mount Clemens","MI","USA","24770 S River Rd","2023-08-28 06:58:12",NULL,"01214152085825923072","Gowanie",18,True,"48045",NULL,NULL
"141520610940930000","Grand Haven Golf Club","Grand Haven","MI","USA","17000 Lincoln St","2023-06-20 07:33:27",NULL,"012141520858335853440","Grand Haven",18,True,"49417",NULL,NULL
"141520610941025000","Grand Hotel - The Jewel Golf Course","Mackinac Island","MI","USA","1 Grand Dr","2023-06-20 08:00:50",NULL,"012141520858370534876","The Jewel",18,True,"49836",NULL,NULL
"141520610941120000","Grand Ledge Country Club","Grand Ledge","MI","USA","5811 E Saint Joseph Hwy","2023-08-30 09:36:39",NULL,"01214152085844901963","Grand Ledge",18,True,"48837",NULL,NULL
"141520610941264000","Grand Rapids Country Club","Grand Rapids","MI","USA","4300 Leonard St N","2023-09-07 09:57:47",NULL,"012141520858437745979","Red + White",18,False,"49525",NULL,NULL
"141520610941264000","Grand Rapids Country Club","Grand Rapids","MI","USA","4300 Leonard St N","2023-09-07 09:57:47",NULL,"011141520858520153419","Blue",9,False,"49525",NULL,NULL
"141520610941379000","Grand Traverse Resort ","Acme","MI","USA","100 Grand Traverse Village Blvd","2023-08-29 14:42:33",NULL,"012141520858618220227","Wolverine ",18,True,"49610",NULL,NULL
"141520610941379000","Grand Traverse Resort ","Acme","MI","USA","100 Grand Traverse Village Blvd","2023-08-29 14:42:33",NULL,"012141520858585228719","The Bear ",18,True,"49610",NULL,NULL
"141520610941379000","Grand Traverse Resort ","Acme","MI","USA","100 Grand Traverse Village Blvd","2023-08-29 14:42:33",NULL,"012141520858552556348","Spruce Run ",18,True,"49610",NULL,NULL
"141520610941559000","Grandview Golf Club","Kalkaska","MI","USA","3003 Hagni Rd","2023-08-30 10:50:46",NULL,"012141520858684154746","Grandview",18,True,"49646",NULL,NULL
"141520610941644000","Gratiot Country Club","Ithaca","MI","USA","1508 N State Rd","2023-06-24 17:10:14",NULL,"012141520858722849428","The Fields",18,True,"48847",NULL,NULL
"141520610941734000","Grayling Country Club","Grayling","MI","USA","100 Charles St","2023-09-01 18:41:19",NULL,"012141520858828394194","Grayling",18,True,"49738",NULL,NULL
"141520610941828000","Great Oaks Country Club","Rochester","MI","USA","777 Great Oaks Blvd","2023-09-02 10:07:39",NULL,"012141520858878342975","Great Oaks",18,True,"48307",NULL,NULL
"141520610941924000","Green Acres Golf Course","Bridgeport","MI","USA","7323 Dixie Hwy","2023-09-02 12:18:38",NULL,"012141520858919513322","18-hole course",18,True,"48722",NULL,NULL
"141520610942013000","Green Briar Golf Course","Lupton","MI","USA","3379 Sage Lake Rd","2023-06-28 10:29:49",NULL,"012141520858953817157","Green Briar",18,True,"48635",NULL,NULL
"141520610942103000","Green Hills Golf Course","Pinconning","MI","USA","1699 M-13","2023-09-02 04:08:48",NULL,"012141520858988067752","Green Hills",18,True,"48650",NULL,NULL
"141520610942198000","Green Meadows Golf Course","Monroe","MI","USA","1555 Strasburg Rd","2023-07-01 07:36:59",NULL,"0121273195944477","18-hole course",18,True,"48161",NULL,NULL
"141520610942333000","Green Oaks Golf Course","Ypsilanti","MI","USA","1775 E Clark Rd","2023-06-17 05:28:20",NULL,"012141520859055636971","Green Oaks",18,True,"48198",NULL,NULL
"141520610942418000","Green Trees Golf","Gaylord","MI","USA","262 N Townline Rd","2023-06-19 13:20:51",NULL,"012141520859087996728","Green Trees",18,True,"49735",NULL,NULL
"141520610942517000","Green Valley Golf Course","Sturgis","MI","USA","25379 Fawn River Rd","2023-06-17 09:54:26",NULL,"012141520859128001212","Green Valley",18,True,"49091",NULL,NULL
"141520610942612000","Greenbriar Golf Club","Brooklyn","MI","USA","14820 Wellwood Rd","2023-06-17 10:47:22",NULL,"012141520859173562416","Greenbriar",18,True,"49230",NULL,NULL
"141520610942712000","Greenbrier Golf Club","Mayville","MI","USA","9350 N Lapeer Rd","2023-06-19 05:25:58",NULL,"012141520859214322570","Greenbrier",18,True,"48423",NULL,NULL
"141520610942812000","Greystone Golf Club","Romeo","MI","USA","67500 Mound Rd","2023-06-23 04:25:13",NULL,"012141520859247003134","Greystone",18,True,"48095",NULL,NULL
"141520610942902000","Groesbeck Golf Course","Lansing","MI","USA","1600 Ormond St","2023-06-24 09:50:49",NULL,"012141520859279596014","Groesbeck",18,True,"48906",NULL,NULL
"141520610943002000","Grosse Ile Golf & Country Club","Grosse Ile","MI","USA","9339 Bellevue Rd","2023-06-24 12:39:54",NULL,"012141520859312317771","Grosse Ile",18,True,"48138",NULL,NULL
"141520610943092000","Gull Lake Country Club","Richland","MI","USA","9725 W Gull Lake Dr","2023-06-27 08:33:48",NULL,"012141520859345983257","Gull Lake",18,True,"49083",NULL,NULL
"141520610943386000","Hadley Acres Golf Club","Hadley","MI","USA","3797 S Hadley Rd","2023-06-28 08:47:47",NULL,"012141520859595360724","Hadley Acres",18,True,"48462",NULL,NULL
"141520610943521000","Hampshire Country Club","Dowagiac","MI","USA","29592 Pokagon Hwy","2024-06-09 21:04:50",NULL,"012141520859638906092","Hampshire",18,True,"49047",NULL,NULL
"141520610943521000","Hampshire Country Club","Dowagiac","MI","USA","29592 Pokagon Hwy","2024-06-09 21:04:50",NULL,"012141520859674996640","Dogwood",18,True,"49047",NULL,NULL
"141520610943611000","Hampton Golf Club","Rochester Hills","MI","USA","2600 Club Dr","2023-09-22 13:35:03",NULL,"01114152085977315058","Hampton",9,True,"48307",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"033141520859739837994","Original + Original",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"032141520859739837994","Original + Back",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"031141520859739837994","Original + Front",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"023141520859739837994","Back + Original",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"022141520859739837994","Back + Back",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"021141520859739837994","Back + Front",18,True,"49272",NULL,NULL
